amount,hour_of_day,day_of_week,is_weekend,is_night,merchant_category,is_foreign_country,transaction_count_1h,transaction_count_24h,amount_vs_avg_ratio,is_new_merchant,is_high_risk_category,label
81.73,13,0,0,0,grocery,0,1,5,1.52,1,0,0
146.29,17,5,1,0,utilities,0,2,3,0.99,0,0,0
821.17,6,6,1,0,restaurant,0,1,7,1.73,0,0,0
235.56,11,3,0,0,entertainment,0,2,9,0.51,0,0,0
74.52,18,3,0,0,grocery,0,1,3,1.64,0,0,0
76.28,13,4,0,0,travel,0,4,1,0.52,1,0,0
99.84,15,1,0,0,grocery,0,1,5,1.07,0,0,0
161.29,8,0,0,0,restaurant,0,2,6,1.35,1,0,0
14.56,23,1,0,1,online_shopping,0,1,8,1.59,0,0,0
71.68,15,0,0,0,electronics,0,2,3,1.59,0,0,0
32.24,14,4,0,0,travel,0,1,1,1.52,0,0,0
741.89,13,0,0,0,restaurant,1,1,3,1.24,0,0,0
101.85,8,3,0,0,restaurant,0,3,9,1.5,0,0,0
177.38,8,1,0,0,online_shopping,0,2,7,1.75,0,0,0
136.87,10,5,1,0,entertainment,0,2,1,0.76,0,0,0
67.59,8,5,1,0,electronics,0,3,4,1.87,0,0,0
89.53,8,3,0,0,retail,0,1,3,1.89,0,0,0
127.12,10,3,0,0,gas_station,0,2,6,1.48,0,0,0
624.9,23,6,1,1,electronics,0,1,5,1.03,0,0,0
26.03,17,4,0,0,pharmacy,0,2,3,1.54,0,0,0
100.15,13,1,0,0,travel,0,1,7,0.51,0,0,0
225.07,10,5,1,0,grocery,0,4,2,1.73,0,0,0
216.01,17,0,0,0,entertainment,0,1,8,1.69,0,0,0
433.71,13,1,0,0,entertainment,0,2,8,1.75,0,0,0
3018.0,22,3,0,1,wire_transfer,1,2,10,10.08,1,1,1
357.95,17,1,0,0,grocery,0,1,6,1.75,0,0,0
147.75,13,1,0,0,grocery,0,1,6,1.31,0,0,0
84.38,18,3,0,0,travel,1,1,1,1.55,0,0,0
725.61,9,3,0,0,entertainment,0,2,2,1.37,0,0,0
142.13,13,6,1,0,online_shopping,0,2,3,1.69,1,0,0
94.26,17,5,1,0,travel,0,1,2,1.12,0,0,0
118.84,19,5,1,0,online_shopping,0,1,1,1.5,0,0,0
1612.82,3,5,1,1,wire_transfer,1,3,8,8.27,0,1,1
220.97,5,5,1,0,utilities,1,22,25,4.12,1,0,1
112.49,2,2,0,1,utilities,0,1,6,1.77,0,0,0
401.13,6,0,0,0,utilities,0,2,9,1.45,0,0,0
352.31,16,5,1,0,gas_station,0,4,1,1.28,0,0,0
220.86,16,2,0,0,travel,0,2,2,1.95,0,0,0
10016.96,9,6,1,0,wire_transfer,1,1,2,40.18,1,1,1
101.82,14,6,1,0,online_shopping,0,4,6,1.63,0,0,0
459.69,22,2,0,0,travel,0,1,9,1.21,0,0,0
105.36,15,6,1,0,pharmacy,0,2,2,1.97,0,0,0
338.78,14,5,1,0,entertainment,0,3,4,1.36,0,0,0
92.57,18,0,0,0,retail,0,2,3,1.54,0,0,0
296.43,14,4,0,0,grocery,0,2,6,1.9,1,0,0
107.92,13,3,0,0,travel,0,2,2,1.26,0,0,0
13.56,4,6,1,1,travel,0,1,1,0.78,1,0,0
331.47,9,1,0,0,gas_station,0,4,1,1.28,0,0,0
121.53,11,6,1,0,restaurant,0,1,6,0.65,0,0,0
189.79,14,4,0,0,entertainment,0,3,3,0.98,0,0,0
149.53,14,6,1,0,grocery,0,1,1,1.88,0,0,0
303.81,11,4,0,0,restaurant,0,1,5,1.54,0,0,0
337.45,9,2,0,0,travel,0,2,2,0.86,1,0,0
16.32,10,4,0,0,utilities,0,1,3,1.86,1,0,0
147.47,16,0,0,0,gas_station,0,1,7,1.17,0,0,0
1437.87,11,0,0,0,gas_station,0,1,6,0.95,0,0,0
1480.54,18,6,1,0,utilities,0,2,5,1.77,0,0,0
106.16,18,5,1,0,gas_station,0,3,5,1.22,0,0,0
465.13,12,1,0,0,restaurant,0,1,3,1.99,0,0,0
92.83,10,2,0,0,online_shopping,0,1,9,0.85,1,0,0
258.55,11,5,1,0,grocery,0,1,4,1.39,0,0,0
1223.94,11,5,1,0,pharmacy,0,1,6,1.65,0,0,0
81.4,7,1,0,0,grocery,0,1,4,1.38,0,0,0
132.66,13,2,0,0,travel,0,3,9,1.72,0,0,0
120.39,6,4,0,0,restaurant,0,2,3,1.2,0,0,0
53.45,19,3,0,0,travel,0,1,6,1.89,0,0,0
93.58,10,0,0,0,electronics,0,3,7,1.22,0,0,0
139.27,6,4,0,0,gas_station,0,2,9,1.78,0,0,0
463.25,13,3,0,0,pharmacy,0,3,3,1.47,0,0,0
4.02,11,1,0,0,pawn_shop,0,22,31,0.06,0,1,1
34.29,19,2,0,0,grocery,0,1,1,1.7,1,0,0
105.73,6,5,1,0,grocery,0,4,7,1.28,1,0,0
146.32,16,3,0,0,grocery,0,1,3,1.5,0,0,0
390.0,16,5,1,0,utilities,0,1,5,1.75,0,0,0
59.15,9,6,1,0,gas_station,0,2,3,0.66,0,0,0
383.61,16,5,1,0,pharmacy,0,3,5,1.74,0,0,0
83.03,11,6,1,0,travel,0,1,2,0.99,0,0,0
420.63,11,1,0,0,online_shopping,0,1,5,1.37,0,0,0
94.34,8,3,0,0,entertainment,0,1,8,1.89,1,0,0
119.83,11,2,0,0,utilities,0,3,6,1.54,0,0,0
364.09,20,4,0,0,pharmacy,0,3,5,0.69,0,0,0
475.82,2,1,0,1,entertainment,1,2,4,0.78,0,0,0
413.43,11,2,0,0,travel,0,1,6,0.55,0,0,0
61.05,18,5,1,0,gas_station,0,3,4,1.52,1,0,0
479.5,11,0,0,0,pharmacy,0,1,7,0.66,0,0,0
70.28,13,5,1,0,retail,0,3,2,1.72,0,0,0
183.81,10,3,0,0,travel,0,3,5,0.56,0,0,0
25.61,8,4,0,0,grocery,1,2,2,0.71,1,0,0
6281.16,2,6,1,1,electronics,1,3,10,24.5,1,1,1
595.9,17,4,0,0,electronics,0,1,9,0.81,0,0,0
50.98,14,0,0,0,gas_station,0,2,6,1.13,0,0,0
96.6,8,3,0,0,entertainment,0,3,4,0.98,0,0,0
154.45,7,2,0,0,entertainment,0,1,2,1.45,0,0,0
57.59,20,6,1,0,pharmacy,0,2,9,0.95,0,0,0
18.57,7,1,0,0,restaurant,0,1,8,1.82,0,0,0
4.93,15,2,0,0,crypto,1,36,39,0.03,0,1,1
21.93,7,3,0,0,retail,0,2,7,1.53,0,0,0
493.22,16,4,0,0,utilities,0,1,4,0.58,0,0,0
80.47,6,6,1,0,pharmacy,1,1,6,1.73,0,0,0
81.23,11,4,0,0,restaurant,0,3,9,0.91,0,0,0
171.34,14,2,0,0,restaurant,0,4,1,1.27,1,0,0
78.62,23,4,0,1,restaurant,0,1,2,0.96,1,0,0
126.51,8,2,0,0,entertainment,1,2,3,1.94,0,0,0
108.07,19,1,0,0,gas_station,0,1,5,0.51,0,0,0
67.67,9,2,0,0,online_shopping,0,1,3,1.45,0,0,0
216.89,12,0,0,0,retail,0,3,7,1.41,0,0,0
236.32,7,6,1,0,travel,0,3,4,1.19,0,0,0
114.88,19,6,1,0,gas_station,0,1,9,0.91,0,0,0
47.69,15,5,1,0,grocery,0,3,9,1.72,0,0,0
203.6,10,0,0,0,gas_station,0,2,1,0.94,0,0,0
18.26,13,0,0,0,pharmacy,0,2,8,1.1,1,0,0
17.17,7,3,0,0,grocery,0,1,6,1.7,0,0,0
145.7,14,3,0,0,retail,0,3,5,1.5,0,0,0
18.02,12,2,0,0,restaurant,0,1,9,0.72,1,0,0
403.78,17,4,0,0,retail,0,1,8,1.94,0,0,0
95.23,13,0,0,0,online_shopping,1,1,2,1.39,0,0,0
86.64,12,0,0,0,grocery,0,2,1,1.74,0,0,0
72.65,14,1,0,0,pharmacy,0,2,1,1.58,1,0,0
38.16,10,3,0,0,restaurant,0,3,6,1.14,1,0,0
29.29,15,6,1,0,gas_station,0,1,2,0.87,0,0,0
790.58,20,3,0,0,utilities,0,1,7,0.72,0,0,0
115.52,21,5,1,0,online_shopping,0,1,7,1.33,0,0,0
6311.29,1,2,0,1,electronics,1,1,5,21.94,1,1,1
91.47,11,3,0,0,gas_station,0,3,9,1.47,0,0,0
134.25,4,3,0,1,entertainment,0,1,9,1.53,0,0,0
2.86,13,0,0,0,gambling,0,38,42,0.02,1,1,1
123.35,2,1,0,1,entertainment,0,2,9,1.6,0,0,0
3497.43,22,0,0,1,wire_transfer,1,3,11,17.7,1,1,1
496.27,7,2,0,0,online_shopping,1,2,5,0.81,0,0,0
386.61,14,3,0,0,pharmacy,0,2,1,1.91,0,0,0
47.29,9,3,0,0,pharmacy,0,4,2,1.34,0,0,0
80.15,17,3,0,0,electronics,0,2,5,0.59,0,0,0
76.22,14,4,0,0,travel,0,1,8,1.06,0,0,0
136.88,9,4,0,0,electronics,0,4,4,1.85,0,0,0
422.9,16,4,0,0,travel,0,1,9,1.12,1,0,0
87.99,22,6,1,0,travel,0,2,6,1.96,0,0,0
482.33,14,3,0,0,pharmacy,0,3,1,0.93,0,0,0
341.55,9,4,0,0,retail,0,3,7,0.72,0,0,0
116.53,10,1,0,0,gas_station,0,1,1,1.02,0,0,0
336.56,15,1,0,0,restaurant,0,3,3,1.85,0,0,0
16.06,11,3,0,0,electronics,0,2,4,1.26,1,0,0
94.49,6,3,0,0,electronics,0,2,2,1.4,0,0,0
413.99,14,6,1,0,wire_transfer,1,42,45,3.49,1,0,1
108.59,11,5,1,0,pharmacy,0,3,5,1.72,0,0,0
343.52,14,6,1,0,electronics,0,3,9,1.02,0,0,0
445.95,11,5,1,0,gas_station,1,1,8,0.88,0,0,0
38.62,10,1,0,0,restaurant,0,4,3,1.37,0,0,0
616.09,6,0,0,0,online_shopping,0,1,3,0.79,0,0,0
80.7,16,5,1,0,pharmacy,0,1,2,0.63,0,0,0
59.03,10,6,1,0,retail,0,3,2,0.6,0,0,0
47.1,15,6,1,0,grocery,0,1,6,1.06,0,0,0
114.47,1,0,0,1,online_shopping,0,1,9,0.63,0,0,0
447.8,19,3,0,0,pharmacy,0,1,7,1.6,0,0,0
153.84,16,5,1,0,electronics,0,49,54,3.71,1,0,1
348.64,23,3,0,1,grocery,0,2,3,1.79,0,0,0
34.25,2,1,0,1,retail,0,1,4,1.91,0,0,0
143.75,16,5,1,0,utilities,0,2,7,1.7,0,0,0
622.08,12,6,1,0,restaurant,0,1,7,1.54,0,0,0
329.89,13,2,0,0,online_shopping,0,2,5,0.78,0,0,0
38.72,2,2,0,1,retail,0,1,6,0.5,1,0,0
53.34,14,5,1,0,pharmacy,0,1,9,0.77,0,0,0
